[0.33203924 0.4975527 ],[0.31990802 0.49803507],[0.31891602 0.49800235],[0.32663018 0.49732757],[0.32511616 0.50144607],[0.37022522 0.46466112],[0.36224484 0.52636975],[0.419614   0.44866183],[0.4197236  0.54864055],[0.43479463 0.50508124],[0.46347547 0.5630338 ],[0.48968306 0.49302042],[0.48721057 0.51398236],[0.5857026  0.50288576],[0.58088917 0.52410334],[0.65663254 0.5112005 ],[0.6613005 0.5166671]
[0.32913947 0.49861664],[0.3173688 0.4908702],[0.3160189 0.5051447],[0.32483158 0.48579517],[0.3241303 0.51648  ],[0.36834052 0.45633462],[0.36445168 0.5421138 ],[0.42254984 0.4462399 ],[0.42660925 0.5509746 ],[0.41185957 0.47759876],[0.46981278 0.5594227 ],[0.48922893 0.48105267],[0.48691112 0.53070825],[0.5909277 0.4807839],[0.58157754 0.53966045],[0.68058515 0.48376814],[0.66075873 0.5368387 ]
[0.3327785 0.5040044],[0.32284787 0.5101152 ],[0.32290792 0.4930113 ],[0.3258242 0.5194728],[0.32438365 0.48113787],[0.36411527 0.54010636],[0.3686438  0.45424742],[0.41758722 0.5496275 ],[0.42208174 0.45508417],[0.46856844 0.55593294],[0.43692744 0.4993334 ],[0.49058697 0.52911043],[0.48725232 0.4847649 ],[0.59399706 0.5325506 ],[0.59413564 0.48139307],[0.665402   0.52742887],[0.6791857  0.48803717]
[0.3281267 0.5021539],[0.31818682 0.51021326],[0.3191083  0.49447763],[0.32315272 0.519457  ],[0.32469323 0.48349604],[0.3664653 0.541307 ],[0.37203622 0.45556384],[0.42513728 0.54996735],[0.43002394 0.46013772],[0.4691758  0.54507047],[0.46380395 0.51124096],[0.49495667 0.526913  ],[0.49048278 0.48930052],[0.59734017 0.53017217],[0.5944879 0.4882089],[0.67788637 0.5271226 ],[0.67970884 0.4925972 ]
[0.33205613 0.50481194],[0.318327   0.49658892],[0.31682315 0.5090705 ],[0.32627785 0.48978287],[0.32443145 0.5179093 ],[0.37306485 0.4565804 ],[0.37095734 0.5497946 ],[0.43496653 0.45265874],[0.43959245 0.5587667 ],[0.47757086 0.48268798],[0.476157  0.5385084],[0.49447882 0.48354137],[0.49676034 0.53245705],[0.59662265 0.48440105],[0.59796274 0.53654647],[0.6823661  0.48619956],[0.68377274 0.5254495 ]
[0.33386368 0.50530213],[0.31898087 0.5083793 ],[0.31932688 0.5031137 ],[0.32329232 0.5115831 ],[0.32435572 0.50078   ],[0.37233958 0.5222174 ],[0.37444752 0.48464435],[0.4385019 0.5487494],[0.43978107 0.5529017 ],[0.48299757 0.5077401 ],[0.4810193 0.5207917],[0.50224763 0.5143836 ],[0.5007626  0.50530946],[0.60007006 0.51742536],[0.59883595 0.5047006 ],[0.67965776 0.5162341 ],[0.68027335 0.5030702 ]
[0.3353122  0.50910693],[0.32259184 0.5129946 ],[0.3233994 0.5000167],[0.3276733 0.5251899],[0.32857737 0.48826772],[0.36989775 0.54898316],[0.3791972  0.46585867],[0.43459186 0.56341445],[0.43231106 0.4645519 ],[0.46705064 0.52894044],[0.4847202  0.47016367],[0.5028762 0.5328567],[0.496662   0.49082336],[0.60043013 0.5267434 ],[0.5973494  0.47707814],[0.67547566 0.5288383 ],[0.66383374 0.48201448]
[0.3366173 0.5114881],[0.32473   0.5153454],[0.32521945 0.50364673],[0.3280237 0.5265361],[0.32952863 0.49404675],[0.36895946 0.5455299 ],[0.3773039  0.47087765],[0.42864975 0.5665474 ],[0.42639866 0.46479896],[0.4517398 0.5121053],[0.45113778 0.49658495],[0.5013422 0.5268451],[0.49703866 0.49214944],[0.5981672 0.5267601],[0.59518504 0.47779578],[0.67622995 0.52774805],[0.6647402 0.480895 ]
[0.33620337 0.5119537 ],[0.32414806 0.5171195 ],[0.32469013 0.5039647 ],[0.32434788 0.52895975],[0.32793903 0.49462938],[0.36436382 0.54319865],[0.3746839  0.47197956],[0.42687538 0.5691649 ],[0.4199778 0.4672173],[0.4233542 0.5315718],[0.41682273 0.51125115],[0.49783656 0.5240929 ],[0.4945441  0.49079758],[0.6014146  0.52530533],[0.59183276 0.47578198],[0.67991436 0.52461934],[0.6653327 0.4806402]
[0.3319645 0.5110574],[0.32070652 0.50692874],[0.32007992 0.5093285 ],[0.32545143 0.50540626],[0.32432526 0.5146953 ],[0.36967215 0.47117442],[0.36325336 0.54406995],[0.41717777 0.4567715 ],[0.4247446 0.5798734],[0.45091197 0.45388326],[0.3858876 0.5544641],[0.4953467 0.4891381],[0.49295327 0.52452624],[0.5882919  0.47959238],[0.59927183 0.5279038 ],[0.6666627 0.5038178],[0.67225313 0.5210319 ]
[0.33377206 0.51081795],[0.3232721 0.5175613],[0.32382733 0.5015269 ],[0.32331344 0.533972  ],[0.32691148 0.48883152],[0.35899746 0.547559  ],[0.36675033 0.4685862 ],[0.41973504 0.5811347 ],[0.41570526 0.45935988],[0.38946608 0.5572582 ],[0.454984  0.4530147],[0.49277803 0.52903116],[0.48824817 0.4823909 ],[0.5966841 0.5335242],[0.5807377 0.4751486],[0.66712743 0.5272603 ],[0.6503022 0.480756 ]
[0.33414343 0.50974935],[0.32412097 0.51656514],[0.32560357 0.5001687 ],[0.32543463 0.5320709 ],[0.3275362 0.4894783],[0.3599721  0.54685277],[0.36456078 0.47087714],[0.42091748 0.5811104 ],[0.41298237 0.46091193],[0.38289353 0.54768336],[0.45887387 0.4506429 ],[0.49165705 0.5292551 ],[0.48840758 0.48078105],[0.5965095  0.53370196],[0.585859   0.47716781],[0.6716915  0.52771914],[0.6557833 0.481416 ]
[0.33371806 0.51156914],[0.32293892 0.5181022 ],[0.3235107  0.50167596],[0.3227856  0.53385913],[0.32660812 0.48817417],[0.36140823 0.54963344],[0.36889738 0.46582305],[0.42612055 0.57394814],[0.4144883 0.4611604],[0.3996702  0.54803497],[0.4622933 0.4548259],[0.49607173 0.5279006 ],[0.49069273 0.48208338],[0.5940089 0.5350329],[0.58970094 0.47644535],[0.67348623 0.52845114],[0.6610492  0.48091182]
[0.3349064 0.511771 ],[0.3235328 0.5181155],[0.32433492 0.50186986],[0.32419795 0.5341739 ],[0.32635707 0.48720998],[0.36631206 0.55271024],[0.371904   0.46700874],[0.43344206 0.5685868 ],[0.42610922 0.46155065],[0.41901425 0.5470115 ],[0.4689415 0.4618588],[0.49942812 0.5300483 ],[0.49309808 0.482033  ],[0.59218514 0.53412145],[0.5947355  0.47406375],[0.67516214 0.52554995],[0.6640441  0.47621012]
[0.33580148 0.5107938 ],[0.3233777 0.5157   ],[0.3241193 0.5015398],[0.32504058 0.53080446],[0.3273723  0.49002415],[0.36966604 0.5533468 ],[0.37462965 0.46686044],[0.4367495  0.56506777],[0.4259667  0.46270514],[0.46437308 0.5379658 ],[0.48489305 0.46394038],[0.49992296 0.5337031 ],[0.49546775 0.48556295],[0.5955449  0.52773476],[0.5949928 0.4759762],[0.68074083 0.52825683],[0.6770566 0.4751839]
[0.33412728 0.50863343],[0.32120833 0.51422715],[0.32331315 0.49941114],[0.32550973 0.52712595],[0.32750174 0.48702586],[0.37298378 0.54794466],[0.37575135 0.4664209 ],[0.43898785 0.5648743 ],[0.43034422 0.4565209 ],[0.4934103 0.547642 ],[0.50258565 0.46277517],[0.49955702 0.52865016],[0.493846  0.4836819],[0.5971609 0.5314896],[0.5983053  0.47861952],[0.6818962  0.53208023],[0.6802741  0.47994402]
